label,youtube_id,time_start,time_end,split,is_cc,Predicted Output
abseiling,0wR5jVB-WPk,417,427,val,0,"rock climbing, abseiling, riding mountain bike, climbing tree, bungee jumping"
abseiling,3caPS4FHFF8,36,46,val,0,"abseiling, pole vault, cleaning windows, climbing a rope, climbing ladder"
abseiling,3yaoNwz99xM,62,72,val,1,"riding unicycle, abseiling, cleaning windows, skateboarding, throwing axe"
abseiling,6IbvOJxXnOo,47,57,val,0,"abseiling, playing paintball, rock climbing, crossing river, ice climbing"
abseiling,6_4kjPiQr7w,191,201,val,0,"ice climbing, abseiling, rock climbing, swinging on something, skiing (not slalom or crosscountry)"
abseiling,9EnSwbXxu5g,56,66,val,0,"riding camel, skiing (not slalom or crosscountry), walking the dog, skiing crosscountry, archery"
abseiling,9eTXpQq9QTA,126,136,val,0,"parasailing, bungee jumping, flying kite, paragliding, ski jumping"
abseiling,ASFOR-PFsiM,40,50,val,0,"rock climbing, abseiling, diving cliff, jumping into pool, climbing ladder"
abseiling,bd6eUL9prjI,102,112,val,0,"abseiling, hammer throw, bungee jumping, waiting in line, sailing"
abseiling,bFdTLPL8TTM,169,179,val,0,"abseiling, riding mule, bungee jumping, walking the dog, swinging on something"
abseiling,BiKRPPjAzvw,17,27,val,0,"bungee jumping, kicking field goal, flying kite, throwing discus, javelin throw"
abseiling,BJ8ZBTYXyAE,76,86,val,1,"abseiling, bungee jumping, feeding birds, riding scooter, bouncing on trampoline"
abseiling,bjtnAh_wz1c,2,12,val,0,"abseiling, walking the dog, playing squash or racquetball, climbing ladder, rock climbing"
abseiling,BXXE1G7O5ec,30,40,val,0,"walking the dog, abseiling, bungee jumping, training dog, riding or walking with horse"
abseiling,C0VVxIhDp9Q,21,31,val,0,"abseiling, rock climbing, crossing river, trimming trees, side kick"
abseiling,CBL6uetTPHg,89,99,val,0,"abseiling, bungee jumping, cleaning windows, swinging on something, archery"
abseiling,CQzUU7-cVck,6,16,val,0,"climbing tree, climbing ladder, parkour, climbing a rope, trimming trees"
abseiling,eA6KqKuVj-I,22,32,val,0,"ski jumping, skiing (not slalom or crosscountry), skateboarding, climbing ladder, abseiling"
abseiling,EDgbHrT9H0U,65,75,val,0,"abseiling, rock climbing, skateboarding, bungee jumping, cleaning windows"
abseiling,eHkBHH59-Js,115,125,val,0,"abseiling, rock climbing, climbing ladder, riding elephant, ironing"
abseiling,f2uK1SvWf5A,5,15,val,0,"abseiling, cleaning windows, pole vault, trapezing, cleaning gutters"
abseiling,G9zN5TTuGO4,179,189,val,0,"abseiling, ice climbing, snowkiting, biking through snow, rock climbing"
abseiling,gGGlthnIB-4,36,46,val,0,"rock climbing, abseiling, climbing a rope, slacklining, parkour"
abseiling,GwlcmI36imo,127,137,val,0,"abseiling, rock climbing, diving cliff, swinging on something, climbing tree"
abseiling,hXtsZAaZ3yc,44,54,val,0,"rock climbing, bungee jumping, abseiling, climbing a rope, ice climbing"
abseiling,IyNBDKyORFs,243,253,val,0,"riding mountain bike, abseiling, ice climbing, trimming trees, biking through snow"
abseiling,lOpJLO8weZw,131,141,val,0,"diving cliff, crossing river, rock climbing, water sliding, abseiling"
abseiling,n6lUXDwL4Y0,22,32,val,0,"abseiling, feeding birds, walking the dog, tobogganing, rock climbing"
abseiling,O179fpfn1G4,40,50,val,0,"playing paintball, abseiling, rock climbing, riding elephant, riding mountain bike"
abseiling,oMjg09l2zs0,676,686,val,0,"paragliding, windsurfing, parasailing, abseiling, skydiving"
abseiling,OMK0OJ4f_TI,0,10,val,0,"abseiling, parkour, passing American football (not in game), throwing ball, rock climbing"
abseiling,p1VKQa4N-hg,0,10,val,0,"abseiling, rock climbing, crossing river, climbing a rope, ice climbing"
abseiling,Ptf_2VRj-V0,122,132,val,0,"rock climbing, abseiling, riding mountain bike, playing paintball, crossing river"
abseiling,qqJisE6m6XI,0,10,val,0,"swinging on something, bungee jumping, trapezing, jumping into pool, diving cliff"
abseiling,rseBvhN6dio,3,13,val,0,"parkour, skateboarding, jogging, dunking basketball, cleaning gutters"
abseiling,UFRaLM26S24,16,26,val,0,"abseiling, cleaning windows, sailing, climbing ladder, bungee jumping"
abseiling,VHJGX13S_UY,554,564,val,0,"abseiling, cleaning windows, cleaning gutters, jumping into pool, diving cliff"
abseiling,Ww61iwaFGrM,59,69,val,0,"abseiling, rock climbing, catching fish, crossing river, chopping wood"
abseiling,XaH22IFN81Y,56,66,val,0,"abseiling, rock climbing, diving cliff, ice climbing, swinging on something"
abseiling,xjhF2VEkh0E,210,220,val,0,"abseiling, faceplanting, drop kicking, rock climbing, parkour"
abseiling,xnyOA58A07Q,127,137,val,0,"catching fish, abseiling, pole vault, swinging on something, water skiing"
abseiling,y3-3i88mNPc,8,18,val,0,"abseiling, parkour, trapezing, cleaning windows, feeding birds"
abseiling,YgzCJmncmUA,27,37,val,1,"abseiling, rock climbing, bungee jumping, diving cliff, swinging on something"
abseiling,YHCT_kezpfk,63,73,val,0,"abseiling, rock climbing, bungee jumping, swinging on something, climbing ladder"
abseiling,YqTT34PsD5c,3,13,val,0,"bungee jumping, abseiling, snowboarding, ski jumping, skiing (not slalom or crosscountry)"
abseiling,yq_M1PMw2hY,38,48,val,0,"abseiling, paragliding, rock climbing, bungee jumping, riding elephant"
abseiling,z9vSfUWX4pI,52,62,val,0,"abseiling, riding camel, rock climbing, climbing ladder, riding or walking with horse"
abseiling,Zv09PB3YQAs,10,20,val,0,"abseiling, rock climbing, ice climbing, walking the dog, climbing ladder"
abseiling,_aQSjArgAqA,123,133,val,0,"abseiling, riding camel, rock climbing, walking the dog, tobogganing"
abseiling,__NrybzYzUg,415,425,val,0,"abseiling, bungee jumping, parasailing, paragliding, rock climbing"
air drumming,--nQbRBEz2s,104,114,val,0,"air drumming, playing drums, playing xylophone, getting a haircut, cleaning windows"
air drumming,2cPLjY5AWXU,1,11,val,0,"running on treadmill, air drumming, slapping, recording music, headbanging"
air drumming,3K0Sw7rbzPU,114,124,val,0,"air drumming, pumping fist, headbanging, shaking head, headbutting"
air drumming,6Tnsmk9C2rg,48,58,val,0,"air drumming, dying hair, beatboxing, running on treadmill, curling hair"
air drumming,7LSJ2Ryv1a8,0,10,val,0,"air drumming, playing drums, smoking hookah, recording music, decorating the christmas tree"
air drumming,9bx-YVn-N2s,0,10,val,0,"air drumming, headbanging, robot dancing, juggling fire, singing"
air drumming,9MTTl2lMkcY,9,19,val,0,"finger snapping, hula hooping, hopscotch, tossing coin, slapping"
air drumming,a5XYYxIhZmY,81,91,val,0,"headbanging, dancing macarena, shaving head, barbequing, playing violin"
air drumming,At8LPKnA9Zg,134,144,val,0,"dancing gangnam style, robot dancing, breakdancing, krumping, skipping rope"
air drumming,BOw4uYkjImw,31,41,val,0,"pumping fist, hula hooping, spinning poi, juggling balls, punching bag"
air drumming,btX0PMRlEPg,1,11,val,0,"finger snapping, jogging, dancing macarena, eating hotdog, juggling balls"
air drumming,cs4UM8n4-Jc,311,321,val,0,"mowing lawn, beatboxing, playing cricket, watering plants, jumping into pool"
air drumming,CSz0mcaxur4,7,17,val,0,"smoking hookah, air drumming, slapping, playing poker, riding unicycle"
air drumming,DcwyDVypfYg,0,10,val,0,"air drumming, eating watermelon, punching person (boxing), headbanging, eating ice cream"
air drumming,dZpNgW8_5zI,3,13,val,0,"applauding, pumping fist, robot dancing, air drumming, clapping"
